what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1314438093968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438119437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438119453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438119546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438248937
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314438249734
opened,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1314438250828
activated,editor,com.android.ide.eclipse.adt,0.9.3.v200909031112-12945,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1314438250890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438257265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438257265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438257343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438259000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438272312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438276781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438288078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438289906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438300578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438303140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438303953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438305328
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314438308578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438311859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438313406
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314438314921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314438318609
