what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1358655083309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358655083719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655084931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655085880
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.FileExplorerView",1358655086852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655088803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655136483
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.DeviceView",1358655138478
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.FileExplorerView",1358655145476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655149368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655151388
opened,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1358655151480
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1358655151494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1358655151494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1358655151494
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.DeviceView",1358655182341
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1358655184031
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.FileExplorerView",1358655190148
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.DeviceView",1358655190901
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358655195625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655201162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655209379
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1358655210910
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.FileExplorerView",1358655211901
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1358655213340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655233002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655306307
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.DeviceView",1358655309876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655311213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655317881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655318018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655318748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655473993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655476688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655519548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655521528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655521550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655521555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655535577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655538851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655538871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655538875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655542849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655544574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655569392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655571705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655571724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655571730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655576945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655577823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655645870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655647285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655666498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655667014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655689713
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1358655694423
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1358655694441
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1358655695830
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1358655695883
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1358655695914
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1358655695991
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1358655696041
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1358655696070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655696150
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1358655719861
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1358655719887
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1358655730882
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1358655730900
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1358655730918
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1358655731006
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1358655731080
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1358655733982
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1358655734014
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.201.R36x_v20110111,"org.eclipse.equinox.p2.touchpoint.natives",1358655734157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655734235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655747328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655747415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655750540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655753645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655760121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655760141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655760145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655790055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655790950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655790970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655790974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655793309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655794482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655869203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655870927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655885811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655892964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655923806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655924721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655948324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358655949251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358659449701
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358659456968
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1358659460267
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1358659460320
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1358659460502
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1358659460567
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1358659460878
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1358659460905
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1358659461013
